Date,Symbol,Open_x,High_x,Low_x,Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Volume_y
2020-01-01,AAPL,469.98,474.74,467.87,471.71,15800031.0,,,,,
2020-01-01,AMZN,171.25,171.25,167.64,167.77,9644042.0,,,,,
2020-01-01,BNB,,,,,,547.6,547.6,503.57,506.14,298512.0
2020-01-01,BTC,,,,,,43033.24,43415.69,42417.82,42837.63,1010915.0
2020-01-01,ETH,,,,,,2326.78,2326.78,2284.34,2285.67,144570.0
2020-01-01,GOOGL,143.04,143.04,141.35,141.5,1133824.0,,,,,
2020-01-01,META,135.47,136.65,132.82,134.99,1748118.0,,,,,
2020-01-01,MSFT,355.94,358.12,355.94,357.26,1719982.0,,,,,
2020-01-01,TSLA,206.09,206.09,205.12,205.35,21899654.0,,,,,
2020-01-01,XRP,,,,,,1.034718,1.072379,1.02841,1.042029,384582.0
2020-01-02,AAPL,471.1,475.26,471.1,475.06,3073566.0,,,,,
2020-01-02,AMZN,167.66,173.88,167.66,172.69,13207565.0,,,,,
2020-01-02,BNB,,,,,,527.44,529.9,516.31,526.52,38688.0
2020-01-02,BTC,,,,,,40944.08,46122.63,40944.08,45784.74,155126.0
2020-01-02,ETH,,,,,,2346.25,2346.25,2202.84,2244.08,242172.0
2020-01-02,GOOGL,140.7,141.43,137.97,140.19,11240540.0,,,,,
2020-01-02,META,134.55,136.51,134.55,136.5,3198578.0,,,,,
2020-01-02,MSFT,357.95,357.95,355.06,355.19,2897119.0,,,,,
2020-01-02,TSLA,205.6,206.51,205.6,206.33,3358778.0,,,,,
2020-01-02,XRP,,,,,,1.048136,1.059281,1.031887,1.050611,119036.0
2020-01-03,AAPL,474.33,474.33,463.26,463.93,4641310.0,,,,,
2020-01-03,AMZN,172.07,183.08,172.07,177.96,546313.0,,,,,
2020-01-03,BNB,,,,,,523.23,551.13,492.16,523.32,167826.0
2020-01-03,BTC,,,,,,44742.87,46977.76,44742.87,46899.81,1022157.0
2020-01-03,ETH,,,,,,2227.44,2248.39,2227.44,2248.36,492959.0
2020-01-03,GOOGL,140.22,142.11,139.25,140.55,3311156.0,,,,,
2020-01-03,META,136.45,137.23,136.45,137.18,3018945.0,,,,,
2020-01-03,MSFT,357.37,362.75,356.5,359.05,29191302.0,,,,,
2020-01-03,TSLA,206.4,206.7,205.17,205.71,9334188.0,,,,,
2020-01-03,XRP,,,,,,1.006309,1.066631,1.006309,1.065892,74138.0
2020-01-06,AAPL,464.42,465.33,454.67,457.88,5085718.0,,,,,
2020-01-06,AMZN,177.59,177.59,170.88,172.44,16646117.0,,,,,
2020-01-06,BNB,,,,,,578.35,578.35,520.1,539.98,181638.0
2020-01-06,BTC,,,,,,34701.2,35404.82,33889.47,34627.6,169427.0
2020-01-06,ETH,,,,,,2475.65,2475.65,2426.49,2433.63,805726.0
2020-01-06,GOOGL,141.76,144.72,140.4,143.58,2239795.0,,,,,
2020-01-06,META,137.39,139.52,133.95,136.83,3502295.0,,,,,
2020-01-06,MSFT,357.72,363.84,356.99,359.9,9856626.0,,,,,
2020-01-06,TSLA,205.69,211.13,205.69,210.07,4520361.0,,,,,
2020-01-06,XRP,,,,,,1.019718,1.02842,0.982107,1.027837,559160.0
2020-01-07,AAPL,458.3,464.75,458.3,464.35,865915.0,,,,,
2020-01-07,AMZN,170.61,170.61,168.86,168.92,12685443.0,,,,,
2020-01-07,BNB,,,,,,595.07,595.07,555.15,558.27,9233.0
2020-01-07,BTC,,,,,,35067.53,35067.53,34434.8,34437.13,2949402.0
2020-01-07,ETH,,,,,,2489.35,2502.42,2489.35,2501.67,39940.0
2020-01-07,GOOGL,145.09,145.09,141.38,142.71,4289859.0,,,,,
2020-01-07,META,136.75,137.42,136.35,137.27,768381.0,,,,,
2020-01-07,MSFT,361.1,361.1,353.5,353.57,16033684.0,,,,,
2020-01-07,TSLA,209.42,209.42,207.72,208.09,5138088.0,,,,,
2020-01-07,XRP,,,,,,1.003181,1.034092,1.003181,1.030688,1007850.0
2020-01-08,AAPL,465.42,470.68,455.24,461.34,400184.0,,,,,
2020-01-08,AMZN,170.41,170.41,167.47,167.66,1170822.0,,,,,
2020-01-08,BNB,,,,,,558.54,558.54,533.37,541.76,112044.0
2020-01-08,BTC,,,,,,33065.56,33065.56,31618.77,32070.91,16020.0
2020-01-08,ETH,,,,,,2554.19,2582.41,2534.28,2568.55,289561.0
