,AAPL,AMZN,BNB,BTC,ETH,GOOGL,META,MSFT,TSLA,XRP
2020-01-01,471.71,167.77,506.14,42837.63,2285.67,141.5,134.99,357.26,205.35,1.4736672
2020-01-02,475.06,172.69,526.52,45784.74,2244.08,140.19,136.5,355.19,206.33,1.050611
2020-01-03,463.93,177.96,523.32,46899.81,1826.2040000000002,140.55,137.18,359.05,205.71,1.065892
2020-01-04,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-01-05,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-01-06,457.88,172.44,539.98,34627.6,2433.63,143.58,136.83,359.9,210.07,1.027837
2020-01-07,464.35,168.92,558.27,34437.13,2501.67,142.71,137.27,353.57,208.09,1.030688
2020-01-08,461.34,167.66,541.76,32070.91,2568.55,142.33,135.05,348.76,204.13,1.031383
2020-01-09,470.48,186.73600000000002,543.88,31703.97,2544.73,140.82,137.11,347.59,204.68,1.01328
2020-01-10,479.28,172.58,542.98,31870.8,2468.59,141.85,135.93,350.63,204.65,1.033374
2020-01-11,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-01-12,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-01-13,469.94,177.32,569.99,33030.34,2587.4,140.95,135.39,352.49,200.9,1.110403
2020-01-14,468.52,173.35,651.582,36048.4,2777.17,139.44,135.26,348.86,201.24,1.027072
2020-01-15,461.48,175.85,546.98,37156.91,2854.6,138.25,139.41,347.35,200.96,1.007859
2020-01-16,467.18,182.01,583.45,36341.07,3002.64,134.29,130.596,350.24,199.32,1.074859
2020-01-17,460.95,175.18,566.99,35253.39,3071.09,133.89,139.15,354.22,199.00799999999998,1.048584
2020-01-18,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-01-19,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
