Date,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AUTO.L,AV.L,AVV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BEZ.L,BKG.L,BME.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CRDA.L,CRH.L,CTEC.L,DCC.L,DGE.L,DPLM.L,EDV.L,ENT.L,EXPN.L,EZJ.L,FCIT.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HLN.L,HSBA.L,IAG.L,ICP.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNDI.L,MNG.L,MRO.L,NG.L,NWG.L,NXT.L,OCDO.L,PSH.L,PSN.L,PSON.L,PURG.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMDS.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2020-11-19,2611080,1530416,990954,2774740,1553362,2223180,17089891,,2894601,11777463,37442579.0,4965834,,1723538,331154,3435059.0,738205,63930390.0,1755887,44745061,696608,14250102,4021994,1359801.0,881069,1734911.0,431404,7519252.0,182026,266,2508750,3978625,4898472,428094,216316,1154102,44661168.0,12715222,972325,1223598,,64508333,40863976.0,,536154,2817009,2739882.0,5756218,378041,11608815,16320102,2743656,26469066,330453203,568819,914545,13040102,14208043,6757615,13517784,493829,2398270,476218,1520334,6866098,,6217866,2335403.0,2032420,6880023,72678770.0,7861153,14826277,1291482,2492889,4970017,48277253,253093,,1362737,3580588,3687779.0,146986,3544756,17083287,792691,30564553,32289323,2857828,675224,2028127,75598331,607214,4684368.0,2389405
2020-11-20,2868199,709532,446596,904813,1213572,2062380,13361105,,2148616,13069076,30600035.0,3814732,,1105409,289149,3632946.0,728106,41835225.0,1148298,34143788,440797,26634952,4032140,1734549.0,1112936,9168681.0,302304,6332102.0,188419,0,2391935,1727288,3581563,442701,135442,1188830,45826527.0,7784945,474123,1174506,,30991008,38036467.0,,312120,1872882,3935470.0,3358267,249500,6964500,9206857,2767839,15952793,236741478,746625,1054139,8018553,3998465,5532369,8726045,348249,1229118,257436,1064713,4293786,,3661369,2396550.0,1228366,4566467,45155090.0,3019698,6029865,1963676,12382398,2236802,8985500,1474646,,1511658,4436496,1794128.0,142939,2583830,6660044,447082,19674611,24274482,4162847,400538,1576713,68888094,756505,3164337.0,1412207
2020-11-23,3254718,1170791,873648,1183204,1703206,2479588,23725366,,2607984,7036459,63641880.0,2246951,,873283,190411,16912874.0,778363,62528004.0,1135519,29740831,1077380,23923773,4315547,450008.0,1288597,2609100.0,457105,3717352.0,204459,0,1312588,1664990,7498771,496142,170536,1415474,41120571.0,12990950,342839,1383918,,20461995,64052551.0,,612686,2393555,1637863.0,2526099,1166853,5869585,14808402,2244219,22338829,269962523,563381,1094133,8233756,4493481,5417782,20244165,1111209,1309429,92967,1367532,2728436,,3027312,2949202.0,1243244,1102640,82517941.0,4570413,6074000,1706741,5939713,2958884,36718439,867015,,593715,4215341,2233979.0,138429,2901343,7786081,696136,23240355,17153291,4386399,902912,1597490,43875674,1147952,2716357.0,1179078
2020-11-24,4729203,1650240,915488,1028738,2406074,3066481,19316759,,2847999,7334732,78845811.0,4407298,,1402172,272398,3289178.0,963166,104760609.0,1477419,35617217,493567,34642192,6259760,550167.0,2264480,4301046.0,369634,4684893.0,315948,2212,2744331,2472822,8370676,547089,235441,2329331,60027476.0,12793800,472134,1101929,,43032871,82914327.0,,741572,2692509,2553586.0,5030909,634868,18302945,10251269,2632837,23954640,383355000,788513,935432,9202901,7770787,6540872,24334960,291065,2530696,171400,1237534,3098733,,4561445,3420135.0,2792617,1442762,126871616.0,5023412,10296083,2253399,5350716,3373836,19219542,2454434,,993260,4157851,2051170.0,249567,3070744,10425106,857409,16069476,18166225,4287198,945046,2032122,64193901,778829,3398943.0,1762687
2020-11-25,5125119,1300996,649850,2092274,1153002,2659179,19587171,,4207740,7444671,72137852.0,4971831,,1349456,350867,4588521.0,1135844,65828061.0,1803372,45244128,728975,32256635,4875709,566305.0,2619555,3931074.0,290449,3437772.0,344555,0,2620674,3174083,4516611,343713,288783,1839429,48784296.0,9665669,358543,1169412,,38937656,58127166.0,,516725,3219343,5479662.0,2933705,599707,8734970,15925131,1956108,20324302,367835127,848140,1280283,8845507,12308181,6099411,24304953,393172,1777276,206867,1163159,2211067,,2568095,3169964.0,2320887,2568903,78583941.0,4410777,5708333,1728299,5023143,3528264,11660112,368387,,1775493,6716246,1795968.0,215069,4202187,10865412,635906,19311149,20285703,11740262,797153,2552350,78156097,1158591,3645059.0,1979536
2020-11-26,2105393,1012606,287905,699257,1967529,2894429,14715003,,2398687,4644158,34544240.0,2100044,,849534,226335,6021216.0,723890,33441392.0,875078,26779628,460550,30053649,3476973,284680.0,1975588,1860787.0,370916,2462374.0,257053,0,1207891,2419288,3509643,383724,215948,1433953,25047639.0,14816365,253440,712486,,25201454,36358466.0,,431043,1342216,1529175.0,3465689,353789,5127585,6955102,1894359,13387381,294316183,345098,936700,5953756,4908836,6243157,12801574,184945,894259,266594,780022,1664512,,2052525,1140897.0,1251333,1593280,39317850.0,3318022,5395652,1475570,3123409,2686180,6834008,1058873,,578050,2530931,1520428.0,93999,2129649,5126327,458598,14313999,16481728,4502338,507035,1116274,54271762,852169,2141029.0,761388
2020-11-27,5652169,1878899,1051057,2127166,1949703,5341922,22550430,,6933755,15004327,77855252.0,12643929,,2583605,708695,6306111.0,1569889,107589945.0,3665096,63263931,943657,48402428,9239389,647911.0,3161043,7108731.0,638018,10621420.0,366605,0,3795658,6314221,3960140,1342501,615844,2913252,53250454.0,20930630,911821,1950638,,101183532,43744839.0,,1055378,4250211,5097959.0,9373111,858945,12188565,14996096,3544828,33685241,361581226,1593483,2225540,13371057,9369033,21121855,23912824,678091,2416599,488951,1811341,3929857,,7732658,5308665.0,3123562,4733123,75209228.0,10187832,11148808,4037088,6738126,6634623,18154034,1256160,,1856221,7324211,5263770.0,353668,6308983,12716969,1494106,47067813,30700664,130094242,1228560,3599949,127670786,1486272,6316167.0,1238537
2020-11-30,5455736,1885951,846183,1333139,2867464,5057667,20449036,,4863411,21458880,66657521.0,7261048,,2608469,928776,4789679.0,1781836,87215894.0,3920954,51547924,1178134,33330919,6313149,1445663.0,2029101,5679087.0,439531,13648926.0,643431,0,2812799,4878699,5739003,496144,1900942,21584599,49759528.0,13358474,2566790,1353000,,41149776,39628432.0,,1052090,8459152,5648927.0,6704532,432595,20439880,14185972,3689426,23570599,343886051,1520925,2540536,16802140,6097767,24940016,24445573,539857,4103584,348284,1463503,5278776,,5031423,4294894.0,1729266,3042305,54663828.0,9479194,38672274,3932458,4218075,5521839,11534794,533604,,1486358,4617401,8867181.0,243507,7989797,9900805,1302119,29701270,30441804,17865326,1511808,3251486,68214551,1142670,6858959.0,1033561
2020-12-01,3571831,827266,457797,932202,1803796,2451631,12391144,,2773905,6132832,51536659.0,3213414,,1586496,493947,3601654.0,811618,55726838.0,1136825,30507888,523386,27011987,3630302,407544.0,1299096,2798837.0,217494,4184707.0,195171,276,1272606,2609916,4131825,594873,349509,2028055,30398283.0,9133385,776429,1188178,,26125627,32180491.0,,612927,2275976,2023620.0,2531292,341687,8849200,11615876,1190089,16159837,244156813,847361,1291495,8021443,6427888,14836820,18762081,275440,854134,539258,1184019,2617029,,2716308,2631756.0,998682,2080068,41118607.0,5112125,7084242,1602199,4416282,2625192,7586502,392816,,763629,5160835,2293286.0,192717,3349379,7797287,902824,14235909,16639001,6348465,739232,2236025,37442190,1006780,2291777.0,695698
2020-12-02,4315567,1672537,347549,657577,2163938,5678762,12111507,,1931427,11367074,46385964.0,3237731,,2266111,580598,3605053.0,810038,73261700.0,1495597,30037312,1176702,25537317,4570976,354793.0,1228042,3037798.0,267125,3318484.0,202704,0,1945500,1826344,3876034,588640,269024,1951432,32395477.0,9499399,671842,668184,,28536304,55695244.0,,542030,2345595,2693529.0,2735586,310938,8959955,11383521,1846947,20495135,222719388,1596840,1102506,7136474,13353446,10277521,16269440,371292,961187,337704,1078800,3224085,,2723465,3584161.0,1891407,3337189,80221417.0,3540528,15160953,1588235,4696579,1746352,8388393,488652,,719278,2559259,2773961.0,212432,3278012,9464734,948877,19056588,20140487,7210220,622778,1777065,89380460,916970,3112072.0,1078593
